start	end	text
675840	677840	I'm always there.
677840	679840	Hey, where are you going now?
679840	681840	Let's see what's going on.
683840	684840	Sir.
684840	685840	Yes?
685840	686840	I'm not playing today.
686840	688840	Well, today you'll play as an entry.
688840	689840	Why?
689840	690840	You know the rules.
690840	692840	If you don't practice, you don't play.
692840	693840	You can't do it.
693840	694840	Oh, no!
694840	696840	They're the rules.
696840	699840	You'll only play as an entry in the right garden.
699840	700840	Understood?
700840	701840	But I'm a very good player.
701840	702840	This game is important.
702840	703840	It's true.
703840	704840	I need you to play.
704840	706840	But there are many guys who have come
706840	707840	every day in time.
707840	709840	And they get really angry.
709840	711840	It wouldn't be fair for them not to let them play.
711840	712840	But they want you to play.
712840	713840	And if we lose?
713840	715840	If we lose, we lose.
715840	717840	When one does wrong things,
717840	718840	it hurts everyone.
718840	719840	It's not fair.
719840	720840	Well, I'll tell you something.
720840	722840	It'll be better if you get used to it, Alfredo,
722840	723840	because you'll have to respect
723840	725840	all your life rules.
725840	727840	Now let's go to the attack.
727840	728840	Go sit down.
728840	729840	Okay.
729840	731840	Cheer your team up from the bench.
731840	732840	Let's go.
733840	735840	Are you going to play?
735840	736840	Just one entry.
736840	737840	We'll lose.
737840	738840	I'm sorry.
738840	739840	I broke the rules.
739840	740840	That's terrible.
740840	741840	They won't lose.
741840	743840	I'm looking for Mrs. Silvia Martinez.
743840	744840	Silvia Martinez?
744840	746840	Yes, I'm Silvia Martinez.
746840	748840	I'm sorry to alarm her.
748840	749840	Can you come with me?
749840	750840	What happened?
750840	751840	It's her daughter.
751840	752840	Teresa, what did she do?
752840	753840	Where is she?
756840	757840	Mom, I'm sorry.
757840	759840	Teresa, what happened?
759840	760840	Eduard.
760840	762840	Eduard, what were you doing with Eduard?
762840	763840	Listen to me, Mom.
763840	764840	They hurt him.
764840	766840	The man who was with her daughter sold drugs.
766840	767840	Drugs?
767840	768840	Is Eduard dead?
768840	770840	No, but his car was destroyed.
770840	772840	He has a drug problem.
772840	774840	I didn't know anything about drugs, Mom.
774840	775840	I swear.
775840	777840	We believe your daughter is telling the truth, Mrs. Martinez.
777840	780840	We've been watching that young man for a long time.
782840	783840	You'll work for me.
783840	784840	Can you start tomorrow?
784840	785840	Of course.
785840	787840	After my game.
787840	788840	Okay, everything is fixed.
788840	789840	Eduard gave me a job.
789840	790840	Doing what?
790840	791840	Sending packages.
791840	793840	What kind of packages?
793840	794840	I don't know.
794840	795840	He didn't tell me.
795840	796840	But they want me to play.
796840	797840	What if we lose?
797840	798840	What if we lose?
798840	799840	We lose.
799840	800840	When you do bad things,
800840	801840	you hurt others.
801840	803840	I don't understand why you don't listen to me.
803840	804840	I try.
804840	806840	But you have so many rules.
806840	808840	You are my life.
808840	810840	I have rules to avoid problems.
810840	812840	Why do you worry so much about me?
812840	813840	You are my friend.
813840	815840	And I don't want you to get into trouble.
815840	817840	Alfredo.
818840	819840	Alfredo.
819840	820840	Alfredo.
820840	821840	Yes, Mom.
821840	823840	Stay with Sonia until we come back, okay?
824840	825840	Okay.
825840	827840	No matter what happens, Mom.
827840	829840	Yes, it's true.
834840	836840	Only for me.
864840	866840	To be continued...
