/usr/local/lib/python3.11/site-packages/whisper/timing.py:57: NumbaDeprecationWarning: [1mThe 'nopython' keyword argument was not supplied to the 'numba.jit' decorator. The implicit default value for this argument is currently False, but it will be changed to True in Numba 0.59.0. See https://numba.readthedocs.io/en/stable/reference/deprecation.html#deprecation-of-object-mode-fall-back-behaviour-when-using-jit for details.[0m
  @numba.jit
/usr/local/lib/python3.11/site-packages/whisper/transcribe.py:114: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:30.000 --> 00:33.800]  Beyo, por favor.
[02:08.160 --> 02:10.160]  Sí, llegaré tarde. ¡Vamos!
[02:10.160 --> 02:12.160]  No, vete solo si quieres.
[02:12.160 --> 02:13.160]  ¿Cómo quieras?
[02:13.160 --> 02:14.160]  ¿Y tú vienes?
[02:14.160 --> 02:17.160]  No puedo. Si no preparo la cena, mi mamá me mata.
[02:17.160 --> 02:20.160]  ¿Por qué va a enojarse contigo? ¿Eres su bebita?
[02:20.160 --> 02:22.160]  No, si no preparo la cena.
[02:25.160 --> 02:26.160]  ¡Adiós!
[02:26.160 --> 02:27.160]  ¡Adiós!
[02:27.160 --> 02:29.160]  ¿Qué quieres que le diga al entrenador?
[02:29.160 --> 02:30.160]  Nada, no faltaré.
[02:30.160 --> 02:32.160]  Besos, no faltará.
[02:38.160 --> 02:41.160]  ¡Claro! No faltaré.
[02:41.160 --> 02:44.160]  ¡Claro! No faltará.
[02:54.160 --> 03:01.160]  Tres, cuatro, cinco, seis, siete, ocho, nueve, diez.
[03:01.160 --> 03:05.160]  Muy bien, den una vuelta, luego jugaremos, ¿vamos?
[03:05.160 --> 03:06.160]  Hola, señor.
[03:06.160 --> 03:07.160]  ¿Llegas tarde?
[03:07.160 --> 03:08.160]  Lo siento, tenía algo que hacer.
[03:08.160 --> 03:09.160]  ¿Algún problema?
[03:09.160 --> 03:10.160]  No, ninguno.
[03:10.160 --> 03:11.160]  Entonces, ¿por qué llegas tarde?
[03:11.160 --> 03:13.160]  Ya le dije, tenía que hacer algo.
[03:13.160 --> 03:16.160]  También tienes la obligación de cumplir con nuestro reglamento.
[03:16.160 --> 03:19.160]  Si eliges llegar tarde, no podrás seguir jugando.
[03:19.160 --> 03:20.160]  Bueno.
[03:20.160 --> 03:22.160]  Un momento, Alfredo.
[03:24.160 --> 03:27.160]  Eres el mejor jugador que tengo, te necesito en el equipo.
[03:27.160 --> 03:29.160]  Quiero que seas el capitán.
[03:29.160 --> 03:30.160]  ¿Sabes lo que significa eso?
[03:30.160 --> 03:31.160]  Sí.
[03:31.160 --> 03:32.160]  ¿Qué?
[03:32.160 --> 03:34.160]  Quiere que sea más responsable.
[03:34.160 --> 03:35.160]  Así es.
[03:35.160 --> 03:37.160]  El sábado tenemos un partido muy importante.
[03:37.160 --> 03:40.160]  ¿Qué clase de ejemplo darás a los demás cuando llegas tarde a entrenar?
[03:40.160 --> 03:41.160]  No lo sé.
[03:41.160 --> 03:42.160]  ¿Te parece bueno?
[03:42.160 --> 03:44.160]  No, creo que no.
[03:44.160 --> 03:45.160]  Claro que no.
[03:45.160 --> 03:47.160]  Las reglas son para todos.
[03:47.160 --> 03:49.160]  Si no las cumples, no solo te lastimas a ti,
[03:49.160 --> 03:51.160]  también lastimas a los demás.
[03:51.160 --> 03:52.160]  ¿Entendido?
[03:52.160 --> 03:54.160]  Sí, lo siento.
[03:54.160 --> 03:56.160]  De acuerdo, que no vuelva a suceder.
[03:56.160 --> 03:58.160]  Ve a correr con los demás.
[04:00.160 --> 04:01.160]  Solo un poco tarde.
[04:01.160 --> 04:02.160]  Oye, ya estoy aquí.
[04:02.160 --> 04:04.160]  Llegaste tarde, ¿dónde estabas?
[04:04.160 --> 04:05.160]  Vimos a pasear.
[04:11.160 --> 04:12.160]  Sí, sí.
[04:12.160 --> 04:13.160]  Ya sabes que es estricta.
[04:13.160 --> 04:15.160]  No me dejarás salir contigo.
[04:15.160 --> 04:16.160]  No.
[04:16.160 --> 04:18.160]  Sabes que te amo.
[04:18.160 --> 04:19.160]  Claro que sí.
[04:19.160 --> 04:20.160]  Debo cortar.
[04:20.160 --> 04:21.160]  Ya volvió.
[04:23.160 --> 04:24.160]  Hola, mamá.
[04:24.160 --> 04:25.160]  Hola, hijita.
[04:25.160 --> 04:26.160]  ¿Cómo estamos?
[04:26.160 --> 04:27.160]  ¿Por qué en plural?
[04:27.160 --> 04:28.160]  Yo estoy bien.
[04:28.160 --> 04:29.160]  Lo lamento.
[04:29.160 --> 04:30.160]  ¿Alfredo está en entrenamiento?
[04:30.160 --> 04:31.160]  Eso creo.
[04:31.160 --> 04:32.160]  Edward lo llevó.
[04:32.160 --> 04:33.160]  ¿Edward?
[04:33.160 --> 04:34.160]  ¿En qué?
[04:34.160 --> 04:35.160]  En su nuevo auto.
[04:35.160 --> 04:36.160]  ¿Edward tiene un auto?
[04:36.160 --> 04:37.160]  Sí, lo compró hoy.
[04:37.160 --> 04:38.160]  ¿Y cómo lo pagó?
[04:38.160 --> 04:39.160]  Trabaja, mamá.
[04:39.160 --> 04:41.160]  Sí, en un lavadero de autos.
[04:41.160 --> 04:43.160]  ¿Por qué siempre desconfías de él?
[04:43.160 --> 04:44.160]  Porque no confío en él.
[04:44.160 --> 04:46.160]  Y no quiero que viajes en su vehículo.
[04:46.160 --> 04:47.160]  ¿Por qué no?
[04:47.160 --> 04:48.160]  Porque aún eres muy joven.
[04:48.160 --> 04:49.160]  Jamás me dejas hacer nada.
[04:49.160 --> 04:51.160]  Tú salías con tus amigos a los 14 años.
[04:51.160 --> 04:53.160]  Sí, créeme que he pagado por ello.
[04:53.160 --> 04:54.160]  Jamás termine la secundaria.
[04:54.160 --> 04:56.160]  Pero esto es diferente.
[04:56.160 --> 04:57.160]  Lo siento, cariño.
[04:57.160 --> 04:59.160]  Tendrás que esperar a tener 16 años.
[04:59.160 --> 05:01.160]  Es que no confías en mí, ¿verdad?
[05:01.160 --> 05:03.160]  Claro que confío en ti, hijita.
[05:03.160 --> 05:04.160]  Sí confío.
[05:04.160 --> 05:07.160]  Pero esa es la regla y es muy importante para mí.
[05:07.160 --> 05:10.160]  Pues tal vez haces tu regla, pero es una tontería.
[05:10.160 --> 05:12.160]  Esta muchacha me desespera.
[05:12.160 --> 05:13.160]  Teresa!
[05:13.160 --> 05:15.160]  Teresa Martínez, ven aquí ahora mismo.
[05:16.160 --> 05:17.160]  Hola, mamá. ¿Y la cena?
[05:17.160 --> 05:19.160]  Está en la cocina.
[05:19.160 --> 05:20.160]  ¿Yo qué hice?
[05:20.160 --> 05:21.160]  Nada, come.
[05:27.160 --> 05:30.160]  ¿Así que ninguno puede subir al vehículo de Edward?
[05:30.160 --> 05:33.160]  No, pero mi hermana dice que saldrá con él de todos modos.
[05:33.160 --> 05:35.160]  No sé por qué mamá nos impone tantas reglas.
[05:35.160 --> 05:37.160]  Es que se preocupa por ustedes.
[05:37.160 --> 05:39.160]  ¿Por qué no sabemos cuidar solos?
[05:39.160 --> 05:41.160]  Estás seguro de lo que dices.
[05:41.160 --> 05:42.160]  Tu hermana parece enamorada.
[05:42.160 --> 05:43.160]  Sí, es un asco, ¿no?
[05:43.160 --> 05:44.160]  Sí.
[05:44.160 --> 05:46.160]  ¿Y qué quieres hacer esta tarde?
[05:46.160 --> 05:48.160]  Edward le pondrá un estereo a su auto
[05:48.160 --> 05:50.160]  y le prometí pasar por el lavadero a verlo.
[05:50.160 --> 05:51.160]  Pero creí que tu madre dijo...
[05:51.160 --> 05:53.160]  Dijo que no podía subir al auto.
[05:53.160 --> 05:54.160]  Sólo voy a ver el estereo.
[05:54.160 --> 05:55.160]  ¿Por qué no vienes?
[05:55.160 --> 05:56.160]  Prefiero no ir.
[05:56.160 --> 05:57.160]  ¿Por qué?
[05:57.160 --> 05:59.160]  Mamá no quiere que vaya allí.
[05:59.160 --> 06:01.160]  Mamá es igual, pero ¿cómo podrá averiguarlo?
[06:01.160 --> 06:02.160]  No lo sé.
[06:02.160 --> 06:04.160]  Deja de pensar y vamos.
[06:04.160 --> 06:05.160]  No puedo.
[06:05.160 --> 06:07.160]  Bueno, te veré en la práctica.
[06:07.160 --> 06:10.160]  Llega tiempo, el coach ya está enojado contigo.
[06:10.160 --> 06:12.160]  No faltaré.
[06:12.160 --> 06:33.160]  Lo siento, amigo. Debo realizar un trámite.
[06:33.160 --> 06:34.160]  Es el adelanto.
[06:34.160 --> 06:36.160]  Te dará el resto cuando te traigues.
[06:36.160 --> 06:37.160]  Ah, de acuerdo.
[06:37.160 --> 06:38.160]  Listo.
[06:38.160 --> 06:40.160]  Bueno, ¿quedamos bien para mañana?
[06:40.160 --> 06:41.160]  Ocho y media.
[06:41.160 --> 06:42.160]  Nos veremos.
[06:42.160 --> 06:43.160]  Y llega tiempo.
[06:45.160 --> 06:46.160]  A un lado, amigo.
[06:48.160 --> 06:49.160]  ¿Qué te pasa?
[06:49.160 --> 06:50.160]  ¿De dónde sacas el dinero?
[06:50.160 --> 06:52.160]  Oye, soy muy trabajador.
[06:52.160 --> 06:53.160]  ¿Tanto te pagan por aquí?
[06:53.160 --> 06:54.160]  Claro que no.
[06:54.160 --> 06:56.160]  Pero tengo otros empleos.
[06:56.160 --> 06:57.160]  Qué suerte.
[06:57.160 --> 06:58.160]  Me gustaría trabajar.
[06:58.160 --> 07:00.160]  ¿Qué haría un chiquillo como tú con el dinero?
[07:00.160 --> 07:01.160]  No lo sé.
[07:01.160 --> 07:03.160]  Todo tipo de cosas.
[07:03.160 --> 07:04.160]  No me digas.
[07:04.160 --> 07:06.160]  Pues tal vez puede ayudarte.
[07:06.160 --> 07:07.160]  ¿Cómo?
[07:07.160 --> 07:08.160]  ¿Trabajarás para mí?
[07:08.160 --> 07:10.160]  ¿Puedes empezar mañana a la tarde?
[07:10.160 --> 07:12.160]  Claro, después de nuestro partido.
[07:12.160 --> 07:13.160]  De acuerdo.
[07:13.160 --> 07:14.160]  Todo arreglado.
[07:27.160 --> 07:29.160]  Gracias por acompañarnos, Martínez.
[07:29.160 --> 07:30.160]  Gracias.
[07:30.160 --> 07:32.160]  No sirvió de nada la charla de ayer.
[07:32.160 --> 07:34.160]  Bueno, pensé que llegaría tiempo.
[07:34.160 --> 07:36.160]  Rápido, bateas después de Fernández.
[07:36.160 --> 07:39.160]  Sony, tú vas después de Alfredo.
[07:41.160 --> 07:43.160]  ¿Me perdí de algo?
[07:45.160 --> 07:46.160]  Oye, ¿qué te pasa?
[07:46.160 --> 07:48.160]  No te permiten viajar en ese auto.
[07:48.160 --> 07:50.160]  Era la única forma de llegar aquí.
[07:50.160 --> 07:52.160]  Tu madre te castigara.
[07:52.160 --> 07:53.160]  Solo que se lo cuentes.
[07:53.160 --> 07:54.160]  Y llegaste tarde.
[07:54.160 --> 07:55.160]  ¿Qué te pasa?
[07:55.160 --> 07:57.160]  ¿No te interesa tu persona
[07:57.160 --> 07:58.160]  ni el equipo ni nada?
[07:58.160 --> 07:59.160]  ¿Te das cuenta, Alfredo?
[07:59.160 --> 08:00.160]  Claro que sí.
[08:00.160 --> 08:02.160]  Pues no me parece.
[08:02.160 --> 08:04.160]  Prometiste que estarías a tiempo.
[08:04.160 --> 08:05.160]  Aquí estoy.
[08:05.160 --> 08:06.160]  Tarde.
[08:06.160 --> 08:07.160]  Es que no me di cuenta de la hora.
[08:07.160 --> 08:08.160]  ¿Por qué?
[08:08.160 --> 08:10.160]  Porque hablamos de trabajo.
[08:10.160 --> 08:11.160]  ¿Cómo?
[08:11.160 --> 08:12.160]  Edward me dio un trabajo.
[08:12.160 --> 08:13.160]  ¿Haciendo qué?
[08:13.160 --> 08:14.160]  Entregando paquetes.
[08:14.160 --> 08:16.160]  ¿Qué clase de paquetes?
[08:16.160 --> 08:17.160]  No lo sé, no me dijo.
[08:17.160 --> 08:19.160]  Oye, no deberías aceptar eso.
[08:19.160 --> 08:20.160]  Te meteras en problemas.
[08:20.160 --> 08:21.160]  No es cierto.
[08:21.160 --> 08:23.160]  ¿Por qué te preocupas tanto por lo que hago?
[08:23.160 --> 08:24.160]  Eres mi amigo.
[08:24.160 --> 08:26.160]  No quiero que te metas en problemas.
[08:26.160 --> 08:27.160]  ¿Por qué lo dices?
[08:27.160 --> 08:28.160]  Has cambiado.
[08:28.160 --> 08:29.160]  No es verdad.
[08:29.160 --> 08:30.160]  Sí lo es.
[08:30.160 --> 08:31.160]  Martínez, es tu turno.
[08:31.160 --> 08:34.160]  Ya deja de preocuparte por mí, ¿de acuerdo?
[08:34.160 --> 08:36.160]  Tu madre te matará.
[08:37.160 --> 08:39.160]  Hoy estoy bien.
[08:51.160 --> 08:53.160]  Vamos, mamá, hace tarde.
[08:53.160 --> 08:54.160]  Tu hermana no ha vuelto.
[08:54.160 --> 08:56.160]  Le dije que volviera antes de las 11.
[08:56.160 --> 08:57.160]  No podemos esperar.
[08:57.160 --> 08:59.160]  Debo llegar a tiempo.
[08:59.160 --> 09:01.160]  Le daré unos minutos más.
[09:01.160 --> 09:03.160]  Mamá, es un partido importante.
[09:03.160 --> 09:04.160]  Prometí estar ahí.
[09:04.160 --> 09:05.160]  Ya vámonos.
[09:05.160 --> 09:08.160]  ¿Cuándo será el día en que me hagan caso?
[09:08.160 --> 09:10.160]  Lo intento, mamá, pero tienes tantas reglas.
[09:10.160 --> 09:12.160]  Ustedes son mi vida.
[09:12.160 --> 09:14.160]  Sólo tengo reglas para evitarles problemas.
[09:14.160 --> 09:16.160]  No le habrá pasado algo.
[09:16.160 --> 09:17.160]  No lo creo, mamá.
[09:17.160 --> 09:18.160]  Vámonos.
[09:18.160 --> 09:19.160]  Está bien, Alfredo.
[09:19.160 --> 09:21.160]  Déjale una nota y dile que estaremos en el parque.
[09:21.160 --> 09:23.160]  Traeré mis llaves.
[09:28.160 --> 09:29.160]  Por favor, mamá, debemos irnos.
[09:29.160 --> 09:31.160]  Me muevo lo más rápido que puedo, hijito.
[09:31.160 --> 09:33.160]  Voy a llegar tarde.
[09:34.160 --> 09:36.160]  No me estés apurando, por favor.
[09:59.160 --> 10:02.160]  Alfredo, ¿no te has olvidado de algo?
[10:02.160 --> 10:03.160]  Gracias.
[10:12.160 --> 10:14.160]  Ya era hora de que llegaras.
[10:14.160 --> 10:15.160]  ¿Ya es tarde?
[10:15.160 --> 10:18.160]  Aún no, pero ya están por empezar a practicar.
[10:18.160 --> 10:20.160]  Fue por culpa de mi hermana. No ha vuelto a casa.
[10:20.160 --> 10:21.160]  Vamos.
[10:32.160 --> 10:34.160]  ¡Boron!
[10:34.160 --> 10:36.160]  ¡Esos, Salón!
[10:36.160 --> 10:38.160]  ¡F guarding!
[10:38.160 --> 10:40.160]  ¡Boron!
[10:40.160 --> 10:41.160]  ¡Boron!
[10:41.160 --> 10:43.160]  ¡Nos hemos escuchado!
[10:43.160 --> 10:45.160]  ¡Muy bien, Alfredo!
[10:45.160 --> 10:46.160]  ¡Muy bien!
[10:46.160 --> 10:47.160]  ¡Muy bien!
[10:47.160 --> 10:48.160]  ¡Ven!
[10:48.160 --> 10:49.160]  ¡Ven!
[10:50.160 --> 10:51.160]  ¡Ven!
[10:51.160 --> 10:53.160]  ¡Muy bien, Alfredo!
[10:53.160 --> 10:54.160]  ¡Ven!
[10:54.160 --> 10:55.160]  ¡Ven!
[10:55.160 --> 10:56.160]  ¡Ven!
[10:56.160 --> 10:57.160]  ¡Ven!
[10:57.160 --> 10:59.160]  ¡Boron!
[11:00.160 --> 11:02.160]  ¡De acuerdo chicos, vengan aquí!
[11:03.160 --> 11:04.160]  ¡Boron!
[11:05.160 --> 11:07.160]  Sus posiciones están en la lista.
[11:07.160 --> 11:09.160]  Revisenla y prepárense para tomarlas
[11:09.160 --> 11:11.160]  en cuanto salga el otro equipo, ¿de acuerdo?
[11:16.160 --> 11:18.160]  ¿Estás en el banco?
[11:18.160 --> 11:19.160]  Tú también.
[11:19.160 --> 11:21.160]  Yo siempre estoy allí.
[11:21.160 --> 11:23.160]  ¡Oye! ¿A dónde vas ahora?
[11:23.160 --> 11:25.160]  A ver, Igüar, ¿qué está pasando?
[11:26.160 --> 11:27.160]  Señor.
[11:27.160 --> 11:28.160]  Sí.
[11:28.160 --> 11:29.160]  Hoy no juego.
[11:29.160 --> 11:31.160]  Bueno, hoy solo jugarás una entrada.
[11:31.160 --> 11:32.160]  ¿Por qué?
[11:32.160 --> 11:33.160]  Conocés las reglas.
[11:33.160 --> 11:35.160]  Si no practicas, no juegas.
[11:35.160 --> 11:36.160]  No puede hacerlo.
[11:36.160 --> 11:37.160]  ¡Ay, no!
[11:37.160 --> 11:38.160]  Son las reglas.
[11:38.160 --> 11:40.160]  Solo jugarás una entrada
[11:40.160 --> 11:42.160]  en el jardín derecho, ¿entendido?
[11:42.160 --> 11:43.160]  Pero soy muy buen jugador.
[11:43.160 --> 11:45.160]  Este partido es importante.
[11:45.160 --> 11:46.160]  Es cierto.
[11:46.160 --> 11:47.160]  Necesito que juegues.
[11:47.160 --> 11:48.160]  Pero hay muchos chicos
[11:48.160 --> 11:50.160]  que han venido todos los días a tiempo
[11:50.160 --> 11:51.160]  y se esmeran mucho.
[11:51.160 --> 11:53.160]  No sería justo para ellos no dejarlos jugar.
[11:53.160 --> 11:55.160]  Pero ellos quieren que juegue.
[11:55.160 --> 11:56.160]  ¿Y si perdemos?
[11:56.160 --> 11:57.160]  Si perdemos, perdemos.
[11:57.160 --> 11:59.160]  Cuando uno hace cosas equivocadas,
[11:59.160 --> 12:00.160]  lastima a todos.
[12:00.160 --> 12:01.160]  No es justo.
[12:01.160 --> 12:02.160]  Pues te diré una cosa.
[12:02.160 --> 12:04.160]  Será mejor que te acostumbres, Alfredo,
[12:04.160 --> 12:05.160]  porque tendrás que respetar
[12:05.160 --> 12:07.160]  reglas ajenas toda tu vida.
[12:07.160 --> 12:09.160]  Ahora vamos al ataque.
[12:09.160 --> 12:10.160]  Ve a sentarte.
[12:10.160 --> 12:11.160]  Bueno.
[12:11.160 --> 12:12.160]  A animar a tu equipo
[12:12.160 --> 12:13.160]  desde la banca.
[12:13.160 --> 12:14.160]  Vamos.
[12:16.160 --> 12:17.160]  ¿Vas a jugar?
[12:17.160 --> 12:18.160]  Solo una entrada.
[12:18.160 --> 12:19.160]  ¿Perderemos?
[12:19.160 --> 12:20.160]  Lo siento.
[12:20.160 --> 12:21.160]  Rompí las reglas.
[12:21.160 --> 12:22.160]  Qué terrible.
[12:22.160 --> 12:23.160]  No perderán.
[12:23.160 --> 12:24.160]  Busco a la señora Silvia Martínez.
[12:24.160 --> 12:25.160]  Silvia Martínez?
[12:25.160 --> 12:27.160]  Sí, yo soy Silvia Martínez.
[12:27.160 --> 12:28.160]  Lamento alarmarla.
[12:28.160 --> 12:29.160]  Puedo acompañarme.
[12:29.160 --> 12:30.160]  ¿Qué pasó?
[12:30.160 --> 12:31.160]  Es por su hija.
[12:31.160 --> 12:32.160]  Teresa, ¿pero qué es lo que hizo?
[12:32.160 --> 12:33.160]  ¿Dónde está?
[12:33.160 --> 12:34.160]  ¡Mamá, dime!
[12:36.160 --> 12:37.160]  ¡Mamá, lo laminé!
[12:37.160 --> 12:39.160]  Teresa, ¿pero qué sucedió?
[12:39.160 --> 12:40.160]  ¡Edward!
[12:40.160 --> 12:42.160]  ¿Edward qué estabas haciendo con Edward?
[12:42.160 --> 12:43.160]  Escúchame, mamá.
[12:43.160 --> 12:44.160]  Lo lastimaron.
[12:44.160 --> 12:45.160]  El joven que estaba con su hija
[12:45.160 --> 12:46.160]  vende drogas.
[12:46.160 --> 12:47.160]  ¿Drogas?
[12:47.160 --> 12:48.160]  ¿Edward ha muerto?
[12:48.160 --> 12:50.160]  No, pero su auto quedó destruido.
[12:50.160 --> 12:52.160]  Y él tiene el problema de las drogas.
[12:52.160 --> 12:54.160]  No sabía nada de las drogas, mamá.
[12:54.160 --> 12:55.160]  Te lo juro.
[12:55.160 --> 12:57.160]  Creemos que su hija dice la verdad,
[12:57.160 --> 12:58.160]  señora Martínez.
[12:58.160 --> 13:00.160]  Hemos estado vigilando a ese joven
[13:00.160 --> 13:01.160]  por mucho tiempo.
[13:02.160 --> 13:03.160]  ¿Trabajarás para mí?
[13:03.160 --> 13:05.160]  ¿Puedes comenzar mañana mismo?
[13:05.160 --> 13:06.160]  Claro.
[13:06.160 --> 13:07.160]  Después de mi partido.
[13:07.160 --> 13:09.160]  ¿De acuerdo en todo arreglado?
[13:09.160 --> 13:10.160]  Edward me dará empleo.
[13:10.160 --> 13:11.160]  Haciendo qué?
[13:11.160 --> 13:12.160]  Entregando paquetes.
[13:12.160 --> 13:13.160]  ¿Qué clase de paquetes?
[13:13.160 --> 13:14.160]  No lo sé.
[13:14.160 --> 13:15.160]  No me dijo.
[13:15.160 --> 13:16.160]  Pero ellos quieren que juegue.
[13:16.160 --> 13:17.160]  ¿Y si perdemos?
[13:17.160 --> 13:19.160]  Si perdemos, perdemos.
[13:19.160 --> 13:21.160]  Cuando uno hace cosas malas,
[13:21.160 --> 13:22.160]  lastima a los demás.
[13:22.160 --> 13:24.160]  No entiendo por qué no me hacen caso.
[13:24.160 --> 13:25.160]  Lo intento,
[13:25.160 --> 13:27.160]  pero tienes tantas reglas.
[13:27.160 --> 13:29.160]  Ustedes son mi vida.
[13:29.160 --> 13:31.160]  Tengo reglas para evitarles problemas.
[13:31.160 --> 13:33.160]  ¿Por qué te preocupas tanto por mí?
[13:33.160 --> 13:34.160]  Eres mi amigo
[13:34.160 --> 13:36.160]  y no quiero que te metas en problemas.
[13:36.160 --> 13:37.160]  Alfredo.
[13:39.160 --> 13:40.160]  Alfredo.
[13:40.160 --> 13:41.160]  Alfredo.
[13:41.160 --> 13:42.160]  Sí, mamá.
[13:42.160 --> 13:43.160]  Tú quédate con Sonya
[13:43.160 --> 13:44.160]  hasta que volvamos.
[13:44.160 --> 13:45.160]  ¿De acuerdo?
[13:45.160 --> 13:46.160]  Te acuerdo.
[13:46.160 --> 13:48.160]  Todo por no hacerle caso a mamá.
[13:48.160 --> 13:50.160]  Sí, es cierto.
[14:18.160 --> 14:19.160]  ¡Para mí!
[14:48.160 --> 14:50.160]  Subtítulos por la comunidad de Amara.org
[0m18122.30user 304.80system 40:24.96elapsed 759%CPU (0avgtext+0avgdata 3156360maxresident)k
2016inputs+400outputs (5074major+67347355minor)pagefaults 0swaps
